name,homo_energy,homo_minus_1,lumo_energy,lumo_plus_1,hl_gap,energy,f_plus_P1,f_minus_P1,f_zero_P1,f_plus_P2,f_minus_P2,f_zero_P2,f_plus_Au1,f_minus_Au1,f_zero_Au1,f_plus_Au2,f_minus_Au2,f_zero_Au2,f_plus_I,f_minus_I,f_zero_I,f_plus_C,f_minus_C,f_zero_C,IP_shift,IP,EA_shift,EA,c_Mulli_P1,c_CM5_P1,c_Mulli_P2,c_CM5_P2,c_Mulli_Au1,c_CM5_Au1,c_Mulli_Au2,c_CM5_Au2,c_Mulli_I,c_CM5_I,c_Mulli_C,c_CM5_C,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,Bond_Au_Au,Bond_Au_I,Bond_Au_C,Bond_C_I,Angle_C_Au_I,Bond_P_Au_1,Bond_P_Au_2,Bond_P_P,Dihedral_P_Au_Au_P,bv_Au_1,bv_Au_2,bv_P_1,bv_P_2,bv_I,bv_C,disp_area,disp_volume,disp_p_int,pyr_p_Au_1,pyr_P_angle_Au_1,pyr_p_Au_2,pyr_P_angle_Au_2,pyr_p_P_1,pyr_P_angle_P_1,pyr_p_P_2,pyr_P_angle_P_2,pyr_p_I,pyr_P_angle_I,pyr_p_C,pyr_P_angle_C,sasa_area,sasa_volume,sasa_Au_1,sasa_Au_2,sasa_P_1,sasa_P_2,sasa_I,sasa_C,Mayer_Bo,Atom_connec,h_volume,l_volume,h_shell_s,h_shell_p,h_shell_d,h_shell_f,l_shell_s,l_shell_p,l_shell_d,l_shell_f,Hirshfeld_c_P_1,Hirshfeld_c_P_2,Hirshfeld_c_Au_1,Hirshfeld_c_Au_2,Hirshfeld_c_I,Hirshfeld_c_C,Mulliken_pop_P_1,Mulliken_pop_P_2,Mulliken_pop_Au_1,Mulliken_pop_Au_2,Mulliken_pop_I,Mulliken_pop_C,Pop_type_s_Au_1,Pop_type_p_Au_1,Pop_type_d_Au_1,Pop_type_f_Au_1,Pop_type_s_Au_2,Pop_type_p_Au_2,Pop_type_d_Au_2,Pop_type_f_Au_2,Pop_type_s_C,Pop_type_p_C,Pop_type_d_C,Pop_type_f_C,Pop_type_s_I,Pop_type_p_I,Pop_type_d_I,Pop_type_f_I,Atom_d_m_X_Au_1,Atom_d_m_Y_Au_1,Atom_d_m_Z_Au_1,Atom_d_m_Au_1,Atom_d_m_X_Au_2,Atom_d_m_Y_Au_2,Atom_d_m_Z_Au_2,Atom_d_m_Au_2,Atom_d_m_X_C,Atom_d_m_Y_C,Atom_d_m_Z_C,Atom_d_m_C,Atom_d_m_X_I,Atom_d_m_Y_I,Atom_d_m_Z_I,Atom_d_m_I,d_m_X,d_m_Y,d_m_Z,Hirshfeld_ob_h_Au_1,Hirshfeld_ob_h_Au_2,Hirshfeld_ob_h_C,Hirshfeld_ob_h_I,Hirshfeld_ob_l_Au_1,Hirshfeld_ob_l_Au_2,Hirshfeld_ob_l_C,Hirshfeld_ob_l_I
0_PXP_cat_ts_0,-12.8491,-12.8578,-11.253,-10.2297,1.5962,-100.929342190941,0.05,0.057,0.054,0.071,0.053,0.062,0.065,0.043,0.054,0.011,0.041,0.026,0.124,0.074,0.099,0.053,0.002,0.027,4.8455,10.6243,4.8455,5.1381,0.08592,-0.14847,0.08323,-0.15598,0.11975,0.28038,0.11852,0.28543,-0.00894,-0.02115,-0.04829,-0.09261,64,1017.78528,-0.305532,98,,,60.47,14.2,9.88,9.88,23.6075,21.355523143908226,64.0,7.912,11.543,11.561,14.575,0.3868202446986384,0.9210692618806876,1.738984,8.531607,12.563955,36.230197,256.4768,4137.7386,2.7564,-67.34784,38.40538,1955.07891,1243.45275,711.62616,0.00096655,0.01743183,-0.02780389,0.00107671,0.12206734,0.02096116,0.57707561,51.12,48.88,10.67626,16.27563,0.53144955,0.00225757,-18.53694,3.23013,-0.0099861,0.01958,2.8741443993459974,2.6455227609875966,2.2228648886804803,2.493535613310024,60.887327144469296,2.3162458714176557,2.260255813849589,2.9519087462117093,-33.20435096782266,0.7729221021244875,0.6571643216548639,0.895802273574357,0.8665672754379427,0.3383572493477451,0.7866369269474469,631.0829467943166,703.0507035243412,26.52052599802883,0.1237320057430469,4.630939366313674,0.1012910834416456,3.383288690541582,0.8773270154688658,6.748677435662801,0.8784276372416859,6.769646604800638,1.7071915828127788,15.046465120527827,1.9858830420748383,8.027335194158281,753.6348143624394,1410.2553090833055,1.899960547261348,20.13958180097024,0.0,0.0,63.90144413585376,0.2600060750003096,,,94.35396,58.91336,8.769,57.665,33.566,0.0,9.559,79.122,11.319,0.0,0.16582776,0.17443621,0.48074563,0.38344424,-0.0483803,-0.20117352,0.08592472,0.08322576,0.11974839,0.11851998,-0.00893988,-0.04828904,0.7647,0.5838,9.5318,0.0,0.8143,0.4965,9.5707,0.0,1.1912,2.8571,0.0,0.0,2.0277,4.9394,0.0419,0.0,-0.532822,-0.009689,0.035474,0.534089,-0.05156,-0.154253,-0.210901,0.26633,-0.188285,0.058368,0.000545,0.197125,-0.319184,0.183462,-0.061675,0.373283,-0.083687,1.131575,-1.894087,19.103,22.239,4.06,20.2,9.322,7.52,19.361,19.864
100_PXP_cat_ts_0,-13.0803,-13.0949,-11.3842,-11.0035,1.6961,-92.412633356513,0.076,0.065,0.07,0.104,0.058,0.006,0.047,0.039,0.043,0.018,0.026,0.022,0.1,0.07,0.085,0.038,0.002,0.02,4.8455,10.7324,4.8455,5.4678,0.08787,-0.14522,0.06619,-0.14884,0.12966,0.28708,0.12953,0.28991,0.00418,-0.00799,-0.03043,-0.07508,57,977.72131,-0.394057,90,-0.319576,0.0744809999999999,10.26,13.86,7.19,8.07,9.845,2.573523848733483,56.0,7.703,10.091,14.137,14.141,0.368552737887357,0.917889134103596,1.569471,7.456953,10.376629,36.086968,255.8206,3767.46348,2.9081,-60.87724,30.89625,1829.67801,1183.45573,646.22228,0.00153444,0.0154665,-0.02397997,0.00100847,0.09497148,0.01806943,0.50268571,59.48,40.52,11.23257,16.25735,0.52986643,0.00192187,-16.46631,3.19512,-0.0128271,0.01689,2.8745519679286877,2.646407187436145,2.223134978560672,2.4931485376541342,60.85832506672752,2.328447104095573,2.3060837884112204,2.9857514872148414,-43.89527843752841,0.7592888091688409,0.6236605478941484,0.870177972418934,0.771722418934029,0.3384853708535221,0.7743256149832277,592.7808213377082,643.1865237681477,26.02354713705318,0.1121164714918916,3.706500280070046,0.0629850068107547,2.661360206930984,0.8586286396490688,6.531890676350519,1.284707853794091,10.057746543619045,1.707173951313813,15.046167793900365,1.985930566242038,8.027356069889853,742.1351747960789,1340.4005956164483,1.3199725907289286,26.509449530472757,0.0,4.689986700162941,61.95140006598029,0.2400056076926007,,,91.74249,69.73971,9.16,55.243,35.597,0.0,8.958,79.154,11.888,0.0,0.16219667,0.08785614,0.50344698,0.42472298,-0.0255507,-0.18036944,0.08786986,0.0661938,0.12965642,0.12953331,0.00418419,-0.03043054,0.7749,0.5671,9.5284,0.0,0.7771,0.4915,9.6019,0.0,1.1886,2.8418,0.0,0.0,2.0289,4.9338,0.0331,0.0,-0.435759,0.084967,0.079526,0.451032,-0.058319,-0.130348,-0.102549,0.175806,-0.155856,0.096566,0.010636,0.183655,-0.259843,0.241933,-0.035932,0.356849,-0.398999,1.245068,-2.219158,19.531,23.517,3.712,17.193,6.466,7.655,14.235,15.087
101_PXP_cat_ts_0,-12.6935,-12.8068,-11.2336,-10.2409,1.46,-157.209305540733,0.03,0.021,0.026,0.024,0.03,-0.004,0.06,0.002,0.031,0.011,0.001,0.006,0.113,0.019,0.066,0.047,-0.002,0.023,4.8455,9.8819,4.8455,5.1738,0.36159,0.29075,0.36194,0.28298,0.15225,0.321,0.18236,0.36707,0.00405,-0.0082,-0.03736,-0.08162,90,1293.00109,-0.398259,147,-0.315395,0.082864,4.36,14.1,12.92,4.11,8.8725,4.657066539142424,67.0,10.378,11.197,14.946,19.889,0.4320689954814042,0.958228945846984,2.016247,9.396693,8.830577,24.713696,392.7753,5535.03778,2.6177,-55.58741,31.33395,2590.89823,1437.25151,1153.64672,-0.00030365,0.01284315,-0.01668238,0.00051782,0.1522357,0.01458845,0.39599744,70.98,29.02,11.32602,18.16391,0.53840836,0.00174616,-32.4813,5.64084,-0.0319616,0.052661,2.874561570390551,2.644350374109068,2.222635558644619,2.49353369241229,60.91011925230831,2.31457170275206,2.239649567756305,2.821882773370027,-39.29582267401796,0.787230944837868,0.6343994595601938,0.8538948937756243,0.815365262765561,0.3392366287737607,0.7867708721580321,831.4416348980199,941.8379149071694,26.834310153853597,0.0544937906678271,3.4660462287753107,0.0838567847907148,3.192512772188107,0.8907987084789992,6.938292805053094,0.885374052396106,6.881426243895001,1.7071453612455507,15.045346185402453,1.985828315826328,8.026311037503387,1007.58687297532,1912.78281222674,6.729860254246764,18.53961502432912,0.1899994612006275,0.0,63.971445717849214,0.2400056076926007,,,95.75347,59.70689,8.668,56.982,34.35,0.0,8.72,80.779,10.501,0.0,0.39544709,0.40837881,0.48970661,0.40364003,-0.03472909,-0.1905155,0.36158708,0.36194359,0.15225117,0.18236312,0.00405121,-0.03736105,0.749,0.5702,9.5285,0.0,0.8116,0.4779,9.5281,0.0,1.1884,2.8489,0.0,0.0,2.0273,4.9271,0.0416,0.0,-0.482662,0.029769,0.051928,0.486359,-0.139649,-0.128937,-0.15818,0.24728,-0.166166,0.087508,0.010052,0.188068,-0.301857,0.225873,-0.045818,0.379783,-0.190692,0.091517,-2.050366,19.146,22.745,4.608,19.131,9.294,5.995,23.398,23.922
102_PXP_cat_ts_0,-12.8096,-12.8339,-11.4092,-10.1116,1.4004,-118.822634664831,0.032,0.042,0.037,0.029,0.043,-0.004,0.076,0.021,0.048,0.014,0.019,0.016,0.136,0.046,0.091,0.06,0.001,0.03,4.8455,10.5857,4.8455,5.1069,0.36151,0.294,0.36025,0.28261,0.13848,0.29964,0.17332,0.36003,-0.0136,-0.02577,-0.0588,-0.10322,66,1092.76578,-0.388381,111,-0.302605,0.0857759999999999,61.52,14.4,15.91,7.82,24.9125,21.353104428864672,46.0,8.567,9.952,14.251,16.429,0.4043364835597558,0.958853741099568,1.449293,7.08035,11.233582,40.432947,218.7975,4263.00929,2.8725,-62.25932,37.64011,2053.68917,1354.55622,699.13295,0.00077394,0.01527222,-0.02731619,0.000938,0.08656272,0.01913522,0.52714769,54.1,45.9,10.74465,18.20249,0.53552282,0.00258857,-29.90847,3.26232,-0.0416084,0.03987,2.874212318610172,2.6463045111801407,2.2231328349265738,2.4931913526592835,60.86132795430799,2.3381564753976645,2.2548375795979902,2.769344255840018,-45.34866787037807,0.747233740216176,0.6423837588520314,0.8539531308237048,0.8575288855758479,0.3383630730525531,0.7667140327991054,663.094644902164,725.9192777646433,26.537769161121645,0.0879453514905692,3.143468267751342,0.1484408364842981,2.958052158967086,0.9159083484554978,7.289931562967161,0.8984315576296767,7.038184365122217,1.7072032401980315,15.046380189296926,1.9860233382591976,8.027277586130015,800.1056442273958,1494.330176225009,2.3199518261296426,18.99960547261345,0.0,0.0,59.87135305811525,0.2700063086541708,,,98.87499,65.32934,7.389,59.554,33.058,0.0,10.319,77.695,11.986,0.0,0.38881957,0.40746285,0.46250295,0.39305186,-0.05628712,-0.21585196,0.36150765,0.36024716,0.13847763,0.17331663,-0.01360196,-0.05880114,0.7382,0.5824,9.5409,0.0,0.7868,0.5004,9.5395,0.0,1.193,2.8658,0.0,0.0,2.0266,4.9363,0.0506,0.0,-0.422285,0.151825,0.104311,0.460713,-0.184122,-0.003617,-0.091229,0.205516,-0.164039,0.130538,0.02938,0.211689,-0.253261,0.286823,-0.001132,0.382635,-0.282904,0.344084,-1.591986,19.665,20.223,4.645,21.881,10.816,7.824,26.197,26.044
103_PXP_cat_ts_0,-12.8948,-12.9228,-11.307,-10.3565,1.5878,-145.370718725286,0.03,0.034,0.032,0.02,0.034,-0.005,0.071,0.011,0.041,0.014,0.012,0.013,0.132,0.038,0.085,0.054,-0.001,0.026,4.8455,10.3679,4.8455,5.2104,0.36256,0.28558,0.36529,0.28615,0.13401,0.30373,0.14777,0.3279,-0.00882,-0.02108,-0.04552,-0.08984,86,1222.95255,-0.393373,136,-0.309107,0.0842659999999999,5.54,13.41,12.01,4.55,8.8775,3.880150609190319,63.0,9.135,11.181,12.001,17.208,0.4260460510027234,0.941871921182266,2.147775,8.185206,8.181275,33.64469,413.4933,5250.15212,2.6103,-59.41606,33.46733,2455.47506,1367.8428,1087.63226,-0.00093028,0.0130047,-0.01845537,0.00055874,0.12083256,0.0155454,0.41957318,65.62,34.38,11.01549,18.20226,0.53656102,0.00182684,-32.33984,3.34748,-0.0212886,0.0376,2.8753211861083106,2.644309009242681,2.222871111511705,2.4932010216719864,60.89912540641427,2.313044794113408,2.2590555587171623,2.750144328583721,-22.604251184794236,0.811346906448006,0.6781121878494223,0.9229989750279538,0.8552285221766679,0.3387066716362281,0.7816401882221394,788.3589590705722,895.1471177115312,27.789508976834437,0.208758856957018,4.420903116565137,0.1805138232415818,3.26301629031797,0.8971171261059316,7.112898205118782,0.9335249086355067,7.521935359710557,1.7071565097520476,15.045021747359757,1.9861629097304256,8.027007870038965,880.6263740608347,1744.0316976777326,2.5299474655637813,14.299703066230116,0.0,0.0,63.98144594384857,0.2500058413464485,,,98.16919,62.0691,6.096,61.608,32.296,0.0,9.038,81.166,9.795,0.0,0.39553332,0.41436127,0.47691974,0.38065573,-0.05208814,-0.20060123,0.3625649,0.3652872,0.13400738,0.14777086,-0.00882288,-0.04552091,0.7393,0.5844,9.5423,0.0,0.8029,0.4807,9.5686,0.0,1.1895,2.8561,0.0,0.0,2.027,4.9379,0.0439,0.0,-0.4991,-0.090062,-0.016936,0.507443,-0.014849,-0.173645,-0.165819,0.24056,-0.190205,0.044992,-0.023364,0.196845,-0.335508,0.144959,-0.105637,0.380445,-0.076652,0.65317,-1.925858,19.915,17.922,5.028,21.118,9.531,7.024,22.136,22.625
104_PXP_cat_ts_0,-12.3901,-12.7963,-11.237,-10.3028,1.153,-122.53938336995,0.056,0.04,0.048,0.069,0.045,0.139,0.062,0.015,0.039,0.009,0.018,0.014,0.119,0.035,0.077,0.048,-0.001,0.023,4.8455,10.163,4.8455,5.117,0.15267,-0.00678,0.14711,-0.02401,0.12222,0.28194,0.13668,0.31419,-0.01062,-0.02277,-0.05005,-0.09496,77,1140.96089,-0.388048,118,-0.306478,0.08157,22.49,13.84,9.9,4.34,12.642499999999998,6.611733414922292,60.0,8.134,12.908,14.671,15.174,0.3549224615816433,0.9327514138185394,1.844958,9.104543,11.412443,41.482991,280.916,4865.78976,2.6276,-65.29648,25.71746,2246.0973,1434.84958,811.24772,0.00054187,0.0143994,-0.02396786,0.0009014,0.07972501,0.01771106,0.48586873,57.95,42.05,10.79997,16.18409,0.53279116,0.00189401,-18.7647,4.01527,0.0003566,0.019293,2.873874968332383,2.647327268450848,2.2229195489121585,2.493577165732294,60.85643730996261,2.3336824077987446,2.248799271904056,2.801542114819852,-32.282999429365034,0.8099200987700336,0.6770173313455088,0.9394917070443534,0.9149098490495714,0.3390327991054789,0.788715989563921,724.7881115087171,827.1913414805155,26.83216640297068,0.1882384474563444,4.341263411390739,0.0483439229273337,2.5435103188479524,0.916645942696737,7.263153568004899,0.867281859711763,6.632301891103039,1.707238226573244,15.04671599524914,1.9855130401189076,8.028340835655955,857.9753507199073,1643.7490683614149,0.0,16.829650531793916,0.0,0.0,62.881421083919946,0.2700063086541708,,,93.71226,59.82673,8.865,57.713,33.422,0.0,8.089,80.716,11.195,0.0,0.24749177,0.25948981,0.49074218,0.40357299,-0.05144924,-0.20324689,0.15266789,0.147107,0.12222093,0.13668016,-0.01061563,-0.05005348,0.7573,0.5718,9.5487,0.0,0.8236,0.4797,9.56,0.0,1.1915,2.8585,0.0,0.0,2.0271,4.9417,0.0418,0.0,-0.464787,0.038393,0.081612,0.473457,-0.090347,-0.119738,-0.175763,0.231068,-0.185137,0.079836,0.001379,0.201622,-0.303379,0.202625,-0.044732,0.367555,-0.087591,1.155085,-1.864816,19.004,22.088,3.951,19.668,7.92,5.992,19.537,20.59
105_PXP_cat_ts_0,-12.92,-12.9351,-11.3962,-10.1185,1.5239,-79.678223256437,0.051,0.07,0.061,0.055,0.064,-0.011,0.104,0.047,0.076,0.017,0.041,0.029,0.179,0.084,0.132,0.083,0.002,0.043,4.8455,10.9559,4.8455,5.1205,0.15611,0.00324,0.1512,-0.03095,0.09354,0.23907,0.12214,0.29621,-0.02826,-0.04025,-0.07535,-0.12026,59,882.70801,-0.378472,78,-0.291567,0.0869049999999999,68.46,14.42,16.55,11.31,27.685,23.61508892636231,59.0,7.053,10.368,10.454,13.877,0.3999250698867403,0.9837657734297462,1.593498,7.671245,15.248532,37.086642,246.4295,3554.55939,2.7828,-74.23561,67.39157,1547.12316,951.69408,595.42908,0.0023747,0.02785425,-0.03835011,0.00148532,0.19182256,0.03139854,0.86787197,30.25,69.75,10.31692,17.00869,0.53058154,0.00328607,-18.17769,3.27748,-0.0070741,0.021576,2.873233911950157,2.6504332104026904,2.224049573352905,2.492798480388495,60.76892448549234,2.397376384657624,2.244987113713724,3.009945628722513,-40.83186723458114,0.8186673033917257,0.6677226984718598,0.9067741334327246,0.8668759317927693,0.3413739284383153,0.7871435892657473,507.8808983680171,597.8856469095922,24.06245429155096,0.0638291904843265,4.613316039280638,0.0678378290503758,3.2130394461699963,0.9096045046737766,7.188535995023427,0.8708379204978636,6.673138191264616,1.7073064899284829,15.048266822000846,1.9859072261992603,8.029324277754135,622.5530501803009,1162.197607871433,0.0,16.83965032414791,0.0,0.0,61.53139057400754,0.2500058413464485,,,99.66124,71.17083,6.608,64.096,29.296,0.0,11.882,76.225,11.894,0.0,0.22169259,0.22072135,0.44999309,0.38205439,-0.07462907,-0.23434167,0.15610864,0.1512041,0.09354086,0.1221408,-0.02825566,-0.07534926,0.7464,0.5909,9.5691,0.0,0.8107,0.5134,9.5537,0.0,1.196,2.8794,0.0,0.0,2.0261,4.9482,0.0539,0.0,-0.520924,0.038941,0.081628,0.528716,-0.105016,-0.098963,-0.190111,0.238672,-0.210819,0.08144,0.00952,0.226203,-0.323594,0.201336,-0.031039,0.382377,0.269142,0.570992,-1.687984,18.94,16.602,4.901,25.137,11.756,9.271,26.251,26.15
106_PXP_cat_ts_0,-12.6106,-12.647,-11.089,-9.7805,1.5216,-127.358391549906,0.046,0.026,0.036,0.052,0.033,0.016,0.076,0.004,0.04,0.015,0.014,0.014,0.137,0.023,0.08,0.064,-0.002,0.031,4.8455,9.9788,4.8455,4.7971,0.09082,-0.13138,0.08725,-0.16078,0.11143,0.27752,0.11385,0.30941,-0.02778,-0.03856,-0.06088,-0.10534,84,1133.95033,-0.37762,122,-0.290771,0.086849,8.49,12.81,13.37,10.03,11.175,2.0007186208960017,84.0,8.016,12.307,13.086,15.452,0.3783082384624801,0.9638223552894212,2.194617,9.662812,11.232382,26.844038,488.7628,4956.32442,2.5638,-73.71554,55.00908,2206.1956,1276.04533,930.15027,-0.00111062,0.01752901,-0.02668178,0.00102979,0.14858063,0.02158381,0.58199406,52.16,47.84,10.4476,17.39029,0.53595798,0.00204773,-20.73729,3.38134,-0.0030968,0.01773,2.873045282043657,2.6478306589832408,2.221860844475351,2.494818922403019,60.89319491245556,2.36256588270478,2.2710687352453816,2.9314445854284115,-59.60179528698583,0.8795541371598956,0.7602963101006336,0.9243617219530376,0.9086435426761088,0.4374184681326873,0.8083535221766679,711.8890208213854,836.6939683147369,26.62110536125748,0.1236997631728235,4.741492141124331,0.0600806721361012,0.736461802779732,0.8704351050864069,6.804423564744072,0.8783413465046226,6.772264758578846,1.707387481988505,15.048314972871797,1.98501865408597,8.027737396834958,819.925067196122,1613.0829518299572,0.0,8.589821632092075,0.0,0.0,44.0609957531411,0.2500058413464485,,,93.72681,62.82071,7.613,63.449,28.937,0.0,10.769,77.209,12.022,0.0,0.1819211,0.18115427,0.51213414,0.42488707,-0.04593761,-0.21866796,0.09082312,0.08725453,0.11143313,0.11384866,-0.02777556,-0.06088093,0.7581,0.5428,9.5877,0.0,0.7589,0.5022,9.625,0.0,1.1933,2.8675,0.0,0.0,2.026,4.9508,0.051,0.0,-0.262854,0.107091,0.278395,0.397573,-0.104989,0.093175,-0.103344,0.174311,-0.151476,0.122814,0.082199,0.211624,-0.146837,0.243905,0.155774,0.324524,0.276546,0.711334,-1.831463,18.145,16.606,4.465,22.721,9.185,6.748,24.187,23.82
107_PXP_cat_ts_0,-12.7055,-12.7083,-11.0823,-10.601,1.6232,-120.343689789108,0.068,0.064,0.066,0.057,0.047,0.007,0.053,0.036,0.044,0.012,0.028,0.02,0.106,0.057,0.082,0.04,-0.0,0.02,4.8455,10.2417,4.8455,5.1105,0.09392,-0.13728,0.09399,-0.13966,0.12914,0.29267,0.13287,0.30228,-0.00333,-0.01558,-0.03759,-0.08196,75,1118.89096,-0.387632,116,-0.309161,0.0784709999999999,11.74,12.62,9.49,5.05,9.725,2.9305332279296885,75.0,7.894,12.985,13.569,14.475,0.3527992395622608,0.9168355713199898,2.18214,8.645276,11.004447,35.826433,247.2444,4776.57022,2.6249,-63.93886,26.54716,2334.46447,1532.18316,802.28131,0.00123724,0.013948,-0.02303755,0.00086384,0.08230931,0.01672035,0.46454702,60.54,39.46,10.99852,16.8056,0.53438014,0.00183302,-18.412,3.26823,-0.0016592,0.019092,2.8742978769671748,2.6451276116122573,2.2221768816879317,2.494055672556504,60.91586942468861,2.306403271561177,2.258117170902873,2.973320579205269,-36.33069850474398,0.7756126537458069,0.6580611721953038,0.9126153093551994,0.8872763697353708,0.3383456019381289,0.7813431792769288,754.6323273533623,819.9584783006851,26.983448871837204,0.0699715916208574,4.289418733635714,0.1055785792386236,3.40723157490026,0.8729336177968675,6.701288442254776,0.8758345615264369,6.7290763882322615,1.707248671873532,15.046789703592715,1.9855771345026636,8.027530214962493,866.0457964941808,1654.7410568086168,2.0799568096334644,20.70956996514865,0.0,0.0,64.05144752584403,0.2700063086541708,,,89.44405,60.25731,9.314,58.296,32.389,0.0,7.908,81.442,10.65,0.0,0.17989411,0.1967783,0.49600221,0.40283402,-0.03846198,-0.18856896,0.0939162,0.09398503,0.12913735,0.13287446,-0.00333244,-0.03759254,0.7706,0.5707,9.5296,0.0,0.8224,0.4727,9.572,0.0,1.1895,2.8481,0.0,0.0,2.0282,4.9375,0.0377,0.0,-0.496695,0.010193,0.049618,0.499271,-0.073489,-0.198736,-0.185409,0.281555,-0.175626,0.067774,0.000204,0.188249,-0.306989,0.182342,-0.06955,0.363769,-0.195915,1.104022,-2.224108,18.912,21.782,3.709,16.711,8.803,5.401,18.681,20.014
108_PXP_cat_ts_0,-12.7704,-12.7785,-11.1568,-10.3075,1.6135,-124.571552617287,0.056,0.042,0.049,0.066,0.036,0.006,0.058,0.024,0.041,0.008,0.024,0.016,0.114,0.039,0.076,0.046,-0.0,0.023,4.8455,10.4685,4.8455,5.0942,0.15226,0.00278,0.14744,-0.02661,0.11994,0.2779,0.14196,0.32214,-0.00851,-0.01961,-0.04483,-0.09006,80,1134.93346,-0.389386,120,-0.306884,0.082502,55.23,13.7,9.72,2.86,20.3775,20.49225997175519,46.0,8.545,10.95,13.831,15.767,0.3888477853408306,0.9225863077823288,1.853056,9.191578,11.343245,31.380034,346.9092,4900.00665,2.5955,-65.26024,29.4104,2169.44711,1267.28068,902.16643,-0.0006934,0.01448297,-0.02201178,0.00086278,0.10862682,0.01774397,0.47929674,60.76,39.24,10.86502,16.55269,0.53541676,0.00159719,-19.70726,3.16129,0.0013072,0.019937,2.874181036150002,2.648943247158545,2.2230552645198176,2.493519536924808,60.82523775400325,2.3701455236170976,2.242181893766952,2.7960885812421057,-29.944109792764248,0.8833162504658963,0.7111733600447261,0.9470858181140516,0.9229290905702572,0.4326663250093179,0.8214044446515095,696.8584343259341,824.7552888867823,26.70314651548058,0.1466943388391179,4.066743181265767,0.0489241712377676,3.900712442667158,0.919298332496411,7.299579472280054,0.8849241199264517,6.869178109141702,1.7072791928724738,15.04678927424896,1.9861726594042544,8.028531664515965,830.4060709939123,1618.4935322911865,0.0,10.999771589407786,0.0,0.0,43.42098128918264,0.2500058413464485,,,95.58006,57.19904,8.111,59.072,32.817,0.0,8.473,80.54,10.987,0.0,0.25116532,0.2611682,0.51400136,0.42566442,-0.02023164,-0.19756948,0.15225794,0.14744142,0.11994129,0.14196124,-0.00850654,-0.04482824,0.7518,0.56,9.5683,0.0,0.828,0.4687,9.5614,0.0,1.1908,2.8541,0.0,0.0,2.0273,4.9404,0.0408,0.0,-0.412233,0.035915,0.09435,0.424415,-0.074882,-0.139646,-0.149161,0.217617,-0.184349,0.063747,-0.013323,0.195514,-0.270249,0.19018,0.004493,0.330489,-0.394914,1.578894,-2.157324,19.144,20.204,4.156,20.99,7.821,5.998,19.773,20.232
109_PXP_cat_ts_0,-12.7796,-12.7876,-11.1982,-9.9324,1.5814,-128.172869877521,0.044,0.051,0.047,0.032,0.041,-0.005,0.092,0.033,0.062,0.015,0.032,0.023,0.165,0.057,0.111,0.073,0.0,0.037,4.8455,10.5313,4.8455,4.991,0.0876,-0.13986,0.08275,-0.16831,0.09077,0.23823,0.11081,0.27874,-0.03008,-0.04209,-0.07429,-0.1194,98,1118.07204,-0.377626,124,-0.291,0.086626,68.17,13.98,17.12,14.38,28.4125,22.985797109302084,98.0,8.258,12.689,13.538,15.582,0.3726948743093592,0.94344877694357,2.154256,10.611932,14.298719,39.867655,276.0962,5332.65843,2.3495,-74.74385,37.47944,2201.33492,1536.0442,665.29072,0.00190699,0.01824183,-0.0358074,0.00115835,0.08749446,0.02283493,0.64084231,42.02,57.98,10.37756,16.42971,0.53607586,0.00231844,-18.51728,3.44215,0.0070337,0.017271,2.873088899134017,2.650220561724876,2.2233004865903587,2.493694279059978,60.8052700851097,2.3794630303995983,2.253870535963053,3.0856944147112224,-40.76565278447534,0.8099317461796497,0.7065376910175177,0.9448669865821842,0.9239948285501304,0.3385028419679463,0.8035489657100261,724.4760531267106,891.6028284567401,25.012784645672557,0.0603054782487767,4.532568097051511,0.0244641939129004,2.934401483474061,0.8341426338520379,6.343559366112259,0.7990553514246961,5.985077178111884,1.7073610671950323,15.04827938261746,1.9850424182819968,8.02876790908711,845.5632143705939,1669.536351933221,2.339951410837652,9.339806058642615,0.0,0.0,63.96144549184986,0.2600060750003096,,,98.35659,71.94189,7.111,63.934,28.955,0.0,11.364,77.397,11.239,0.0,0.15832256,0.16802939,0.43727491,0.39363304,-0.07832627,-0.23204944,0.08759907,0.08275013,0.09077061,0.11081007,-0.03007564,-0.07429333,0.7545,0.5838,9.571,0.0,0.8109,0.5063,9.572,0.0,1.1956,2.8787,0.0,0.0,2.0261,4.9521,0.0519,0.0,-0.549191,0.145028,0.019382,0.568348,-0.096885,-0.195191,-0.164893,0.273269,-0.188189,0.126893,-0.012903,0.22734,-0.281513,0.252335,-0.090216,0.388666,0.24744,-0.257257,-1.854205,18.86,16.705,4.779,24.303,11.721,8.305,26.825,27.041
